Id	Jacket	Title	Artist	Game Version	Category	Dx Version	Difficulty Id	International	Locked	Uni	Uni+	Fes	Fes+	Power	Tech	Intelligence	Stamina	Trills	Spins	Search Tags
5	https://maimaidx-eng.com/maimai-mobile/img/Music/1ddd109f16985b8a.png	若い力 -SEGA HARD GIRLS MIX-	SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]	32	1	1	8	1	0	12.0	12.0	12.0	12.0			1				wakaichikara sega hard girls mix, sc3000shsancvaizawa mai,sg1000sencvserizawa y,sg1000iisentsucvzoranaomi,gmugiamugicvtanakayoshiumi,robopitchapitchancvmomonoharunahiscoool sehagru animepv, 若い力 -SEGA HARD GIRLS MIX-, SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]
5	https://maimaidx-eng.com/maimai-mobile/img/Music/1ddd109f16985b8a.png	若い力 -SEGA HARD GIRLS MIX-	SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]	32	1	1	16	1	0	12.0	12.0	12.0	12.0			1				wakaichikara sega hard girls mix, sc3000shsancvaizawa mai,sg1000sencvserizawa y,sg1000iisentsucvzoranaomi,gmugiamugicvtanakayoshiumi,robopitchapitchancvmomonoharunahiscoool sehagru animepv, 若い力 -SEGA HARD GIRLS MIX-, SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]
6	https://maimaidx-eng.com/maimai-mobile/img/Music/d5648519628a2a37.png	セハガガガンバッちゃう！！	Hi☆sCoool! セハガール	128	1	1	1	1	0	5.0	5.0	5.0	5.0							sehagagagambatsuchau, hiscoool sehagru, セハガガガンバッちゃう！！, Hi☆sCoool! セハガール
6	https://maimaidx-eng.com/maimai-mobile/img/Music/d5648519628a2a37.png	セハガガガンバッちゃう！！	Hi☆sCoool! セハガール	128	1	1	2	1	0	7.0	7.0	7.0	7.0							sehagagagambatsuchau, hiscoool sehagru, セハガガガンバッちゃう！！, Hi☆sCoool! セハガール
6	https://maimaidx-eng.com/maimai-mobile/img/Music/d5648519628a2a37.png	セハガガガンバッちゃう！！	Hi☆sCoool! セハガール	128	1	1	4	1	0	10.0	10.0	10.0	10.0							sehagagagambatsuchau, hiscoool sehagru, セハガガガンバッちゃう！！, Hi☆sCoool! セハガール
6	https://maimaidx-eng.com/maimai-mobile/img/Music/d5648519628a2a37.png	セハガガガンバッちゃう！！	Hi☆sCoool! セハガール	128	1	1	8	1	0	13.3	13.3	13.3	13.3							sehagagagambatsuchau, hiscoool sehagru, セハガガガンバッちゃう！！, Hi☆sCoool! セハガール
7	https://maimaidx-eng.com/maimai-mobile/img/Music/8e9e55fcd3e6528a.png	ラブリー☆えんじぇる!!	あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」	64	1	1	1	1	0	4.0	4.0	4.0	4.0							raburenjieru, abeniyuupurojekuto featsakurashaoinouemiyupachisurokaittenshitsuinenjeru, ラブリー☆えんじぇる!!, あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」
7	https://maimaidx-eng.com/maimai-mobile/img/Music/8e9e55fcd3e6528a.png	ラブリー☆えんじぇる!!	あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」	64	1	1	2	1	0	6.0	6.0	6.0	6.0							raburenjieru, abeniyuupurojekuto featsakurashaoinouemiyupachisurokaittenshitsuinenjeru, ラブリー☆えんじぇる!!, あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」
7	https://maimaidx-eng.com/maimai-mobile/img/Music/8e9e55fcd3e6528a.png	ラブリー☆えんじぇる!!	あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」	64	1	1	4	1	0	9.0	9.0	9.0	9.0							raburenjieru, abeniyuupurojekuto featsakurashaoinouemiyupachisurokaittenshitsuinenjeru, ラブリー☆えんじぇる!!, あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」
7	https://maimaidx-eng.com/maimai-mobile/img/Music/8e9e55fcd3e6528a.png	ラブリー☆えんじぇる!!	あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」	64	1	1	8	1	0	12.0	12.0	12.0	12.0							raburenjieru, abeniyuupurojekuto featsakurashaoinouemiyupachisurokaittenshitsuinenjeru, ラブリー☆えんじぇる!!, あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」
8	https://maimaidx-eng.com/maimai-mobile/img/Music/5c4d01f3689634af.png	ラブって♡ジュエリー♪えんじぇる☆ブレイク！！	あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」	4096	1	1	1	1	0	4.0	4.0	4.0	4.0							rabuttejuerenjierubureiku, abeniyuupurojekuto featamatsukimegurukisaragisumiretsuinenjerubreak, ラブって♡ジュエリー♪えんじぇる☆ブレイク！！, あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」
8	https://maimaidx-eng.com/maimai-mobile/img/Music/5c4d01f3689634af.png	ラブって♡ジュエリー♪えんじぇる☆ブレイク！！	あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」	4096	1	1	2	1	0	7.7	7.7	7.7	7.7							rabuttejuerenjierubureiku, abeniyuupurojekuto featamatsukimegurukisaragisumiretsuinenjerubreak, ラブって♡ジュエリー♪えんじぇる☆ブレイク！！, あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」
8	https://maimaidx-eng.com/maimai-mobile/img/Music/5c4d01f3689634af.png	ラブって♡ジュエリー♪えんじぇる☆ブレイク！！	あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」	4096	1	1	4	1	0	10.7	10.7	10.7	10.7							rabuttejuerenjierubureiku, abeniyuupurojekuto featamatsukimegurukisaragisumiretsuinenjerubreak, ラブって♡ジュエリー♪えんじぇる☆ブレイク！！, あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」
8	https://maimaidx-eng.com/maimai-mobile/img/Music/5c4d01f3689634af.png	ラブって♡ジュエリー♪えんじぇる☆ブレイク！！	あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」	4096	1	1	8	1	0	12.7	13.2	13.2	13.2							rabuttejuerenjierubureiku, abeniyuupurojekuto featamatsukimegurukisaragisumiretsuinenjerubreak, ラブって♡ジュエリー♪えんじぇる☆ブレイク！！, あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」
9	https://maimaidx-eng.com/maimai-mobile/img/Music/8148ef129c27aadc.png	デビル☆アイドル	アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）	8192	1	2	1	1	0	3.0	3.0	3.0	3.0							debiruaidoru, airacvmimorisuzukoshimacviguchiyukahanacvhanazawakana, デビル☆アイドル, アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）
9	https://maimaidx-eng.com/maimai-mobile/img/Music/8148ef129c27aadc.png	デビル☆アイドル	アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）	8192	1	2	2	1	0	7.0	7.0	7.0	7.0							debiruaidoru, airacvmimorisuzukoshimacviguchiyukahanacvhanazawakana, デビル☆アイドル, アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）
9	https://maimaidx-eng.com/maimai-mobile/img/Music/8148ef129c27aadc.png	デビル☆アイドル	アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）	8192	1	2	4	1	0	9.7	9.7	9.7	9.7							debiruaidoru, airacvmimorisuzukoshimacviguchiyukahanacvhanazawakana, デビル☆アイドル, アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）
9	https://maimaidx-eng.com/maimai-mobile/img/Music/8148ef129c27aadc.png	デビル☆アイドル	アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）	8192	1	2	8	1	0	12.0	12.0	12.0	12.0							debiruaidoru, airacvmimorisuzukoshimacviguchiyukahanacvhanazawakana, デビル☆アイドル, アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）
10	https://maimaidx-eng.com/maimai-mobile/img/Music/687032cff68a9090.png	きらっせ☆ウッド村ファーム	uno(IOSYS) feat.miko	256	1	1	1	1	0	5.0	5.0	5.0	5.0							kirasseuddomurafmu, unoiosys featmiko, きらっせ☆ウッド村ファーム, uno(IOSYS) feat.miko
10	https://maimaidx-eng.com/maimai-mobile/img/Music/687032cff68a9090.png	きらっせ☆ウッド村ファーム	uno(IOSYS) feat.miko	256	1	1	2	1	0	7.0	7.0	7.0	7.0							kirasseuddomurafmu, unoiosys featmiko, きらっせ☆ウッド村ファーム, uno(IOSYS) feat.miko
10	https://maimaidx-eng.com/maimai-mobile/img/Music/687032cff68a9090.png	きらっせ☆ウッド村ファーム	uno(IOSYS) feat.miko	256	1	1	4	1	0	9.0	9.0	9.0	9.0							kirasseuddomurafmu, unoiosys featmiko, きらっせ☆ウッド村ファーム, uno(IOSYS) feat.miko
10	https://maimaidx-eng.com/maimai-mobile/img/Music/687032cff68a9090.png	きらっせ☆ウッド村ファーム	uno(IOSYS) feat.miko	256	1	1	8	1	0	12.7	12.7	12.7	12.7							kirasseuddomurafmu, unoiosys featmiko, きらっせ☆ウッド村ファーム, uno(IOSYS) feat.miko
11	https://maimaidx-eng.com/maimai-mobile/img/Music/efde807a5f65e317.png	にじよめちゃん体操第一億	にじよめちゃんとZIPたん	2048	1	1	1	1	0	4.0	4.0	4.0	4.0							nijiyomechantaisdaiichioku, nijiyomechantoziptan, にじよめちゃん体操第一億, にじよめちゃんとZIPたん
11	https://maimaidx-eng.com/maimai-mobile/img/Music/efde807a5f65e317.png	にじよめちゃん体操第一億	にじよめちゃんとZIPたん	2048	1	1	2	1	0	6.0	6.0	6.0	6.0							nijiyomechantaisdaiichioku, nijiyomechantoziptan, にじよめちゃん体操第一億, にじよめちゃんとZIPたん
11	https://maimaidx-eng.com/maimai-mobile/img/Music/efde807a5f65e317.png	にじよめちゃん体操第一億	にじよめちゃんとZIPたん	2048	1	1	4	1	0	8.0	8.0	8.0	8.0							nijiyomechantaisdaiichioku, nijiyomechantoziptan, にじよめちゃん体操第一億, にじよめちゃんとZIPたん
11	https://maimaidx-eng.com/maimai-mobile/img/Music/efde807a5f65e317.png	にじよめちゃん体操第一億	にじよめちゃんとZIPたん	2048	1	1	8	1	0	13.2	13.5	13.7	13.7			1				nijiyomechantaisdaiichioku, nijiyomechantoziptan, にじよめちゃん体操第一億, にじよめちゃんとZIPたん
12	https://maimaidx-eng.com/maimai-mobile/img/Music/22be5d0f9ac31bf0.png	Rodeo Machine	HALFBY	2048	1	1	1	1	0	3.0	3.0	3.0	3.0							rodeo machine, halfby, Rodeo Machine, HALFBY
12	https://maimaidx-eng.com/maimai-mobile/img/Music/22be5d0f9ac31bf0.png	Rodeo Machine	HALFBY	2048	1	1	2	1	0	6.0	6.0	6.0	6.0							rodeo machine, halfby, Rodeo Machine, HALFBY
12	https://maimaidx-eng.com/maimai-mobile/img/Music/22be5d0f9ac31bf0.png	Rodeo Machine	HALFBY	2048	1	1	4	1	0	10.0	10.0	10.0	10.0							rodeo machine, halfby, Rodeo Machine, HALFBY
12	https://maimaidx-eng.com/maimai-mobile/img/Music/22be5d0f9ac31bf0.png	Rodeo Machine	HALFBY	2048	1	1	8	1	0	13.2	13.5	13.5	13.7			1				rodeo machine, halfby, Rodeo Machine, HALFBY
13	https://maimaidx-eng.com/maimai-mobile/img/Music/25da97d32ca1c198.png	true my heart -Lovable mix-	ave;new feat.佐倉紗織	4096	1	1	1	1	0	4.0	4.0	4.0	4.0							true my heart lovable mix, avenew featsakurashao, true my heart -Lovable mix-, ave;new feat.佐倉紗織
13	https://maimaidx-eng.com/maimai-mobile/img/Music/25da97d32ca1c198.png	true my heart -Lovable mix-	ave;new feat.佐倉紗織	4096	1	1	2	1	0	6.0	6.0	6.0	6.0							true my heart lovable mix, avenew featsakurashao, true my heart -Lovable mix-, ave;new feat.佐倉紗織
13	https://maimaidx-eng.com/maimai-mobile/img/Music/25da97d32ca1c198.png	true my heart -Lovable mix-	ave;new feat.佐倉紗織	4096	1	1	4	1	0	9.0	9.0	9.0	9.0							true my heart lovable mix, avenew featsakurashao, true my heart -Lovable mix-, ave;new feat.佐倉紗織
13	https://maimaidx-eng.com/maimai-mobile/img/Music/25da97d32ca1c198.png	true my heart -Lovable mix-	ave;new feat.佐倉紗織	4096	1	1	8	1	0	12.5	12.5	12.5	12.5							true my heart lovable mix, avenew featsakurashao, true my heart -Lovable mix-, ave;new feat.佐倉紗織
14	https://maimaidx-eng.com/maimai-mobile/img/Music/212dcc8c73d2fc43.png	POP STAR	平井堅 [cover]	8	1	1	1	1	0	4.0	4.0	4.0	4.0							pop star, hiraiken cover, POP STAR, 平井堅 [cover]
14	https://maimaidx-eng.com/maimai-mobile/img/Music/212dcc8c73d2fc43.png	POP STAR	平井堅 [cover]	8	1	1	2	1	0	6.0	6.0	6.0	6.0							pop star, hiraiken cover, POP STAR, 平井堅 [cover]
14	https://maimaidx-eng.com/maimai-mobile/img/Music/212dcc8c73d2fc43.png	POP STAR	平井堅 [cover]	8	1	1	4	1	0	8.0	8.0	8.0	8.0							pop star, hiraiken cover, POP STAR, 平井堅 [cover]
14	https://maimaidx-eng.com/maimai-mobile/img/Music/212dcc8c73d2fc43.png	POP STAR	平井堅 [cover]	8	1	1	8	1	0	10.7	10.7	10.7	10.7							pop star, hiraiken cover, POP STAR, 平井堅 [cover]
15	https://maimaidx-eng.com/maimai-mobile/img/Music/4d2c50f8046c8c8f.png	Love or Lies	capsule [cover]	1	1	1	1	1	0	4.0	4.0	4.0	4.0							love or lies, capsule cover, Love or Lies, capsule [cover]
15	https://maimaidx-eng.com/maimai-mobile/img/Music/4d2c50f8046c8c8f.png	Love or Lies	capsule [cover]	1	1	1	2	1	0	6.0	6.0	6.0	6.0							love or lies, capsule cover, Love or Lies, capsule [cover]
15	https://maimaidx-eng.com/maimai-mobile/img/Music/4d2c50f8046c8c8f.png	Love or Lies	capsule [cover]	1	1	1	4	1	0	8.0	8.0	8.0	8.0							love or lies, capsule cover, Love or Lies, capsule [cover]
15	https://maimaidx-eng.com/maimai-mobile/img/Music/4d2c50f8046c8c8f.png	Love or Lies	capsule [cover]	1	1	1	8	1	0	11.0	11.0	11.0	11.0							love or lies, capsule cover, Love or Lies, capsule [cover]
16	https://maimaidx-eng.com/maimai-mobile/img/Music/a04ffc79950a73a2.png	jelly	capsule [cover]	1	1	1	1	1	0	4.0	4.0	4.0	4.0							jelly, capsule cover, jelly, capsule [cover]
16	https://maimaidx-eng.com/maimai-mobile/img/Music/a04ffc79950a73a2.png	jelly	capsule [cover]	1	1	1	2	1	0	7.0	7.0	7.0	7.0							jelly, capsule cover, jelly, capsule [cover]
16	https://maimaidx-eng.com/maimai-mobile/img/Music/a04ffc79950a73a2.png	jelly	capsule [cover]	1	1	1	4	1	0	8.0	8.0	8.0	8.0							jelly, capsule cover, jelly, capsule [cover]
16	https://maimaidx-eng.com/maimai-mobile/img/Music/a04ffc79950a73a2.png	jelly	capsule [cover]	1	1	1	8	1	0	11.7	11.7	11.7	11.7							jelly, capsule cover, jelly, capsule [cover]
17	https://maimaidx-eng.com/maimai-mobile/img/Music/02627f1e02b50b2e.png	美しく燃える森	東京スカパラダイスオーケストラ [cover]	1	1	1	1	1	0	4.0	4.0	4.0	4.0							utsukushikumoerumori, tkysukaparadaisukesutora cover, 美しく燃える森, 東京スカパラダイスオーケストラ [cover]
17	https://maimaidx-eng.com/maimai-mobile/img/Music/02627f1e02b50b2e.png	美しく燃える森	東京スカパラダイスオーケストラ [cover]	1	1	1	2	1	0	6.0	6.0	6.0	6.0							utsukushikumoerumori, tkysukaparadaisukesutora cover, 美しく燃える森, 東京スカパラダイスオーケストラ [cover]
17	https://maimaidx-eng.com/maimai-mobile/img/Music/02627f1e02b50b2e.png	美しく燃える森	東京スカパラダイスオーケストラ [cover]	1	1	1	4	1	0	8.0	8.0	8.0	8.0							utsukushikumoerumori, tkysukaparadaisukesutora cover, 美しく燃える森, 東京スカパラダイスオーケストラ [cover]
17	https://maimaidx-eng.com/maimai-mobile/img/Music/02627f1e02b50b2e.png	美しく燃える森	東京スカパラダイスオーケストラ [cover]	1	1	1	8	1	0	10.0	10.0	10.0	10.0							utsukushikumoerumori, tkysukaparadaisukesutora cover, 美しく燃える森, 東京スカパラダイスオーケストラ [cover]
18	https://maimaidx-eng.com/maimai-mobile/img/Music/daf6adeacb8fc300.png	Love You	Q;indivi [cover]	1	1	1	1	1	0	5.0	5.0	5.0	5.0							love you, qindivi cover, Love You, Q;indivi [cover]
